SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
114,Matriot Solutions Pvt Ltd,IIOT,IIOT,IIOT > Asset Tracking,"4th Floor, NCR Arcade
580/B, Sector 6, HSR Layout",Bangalore,560102,1,42,25-Sep-17,4.1,2,42,2,5,"Recognized by Department of Industrial Policy & Promotion (DIPP) under the Startup India Program. MatrIoT's DIPP No is DIPP10777, Recognized by the Government of Karnataka Startup Cell and has been allotted with the Registration Number : KBITS/SK-REGN/2018-19/664/420., Recognized and currently incubated in NASSCOM CoE-IoT leveraging the knowledge of industry and experts in mentoring and guiding us to acheive MatrIoT's vision., Won the award in the category Supply Chain Technology Advancement / Solution Implementation at 7th Manufaturing Supply Chain Summit, Mumbai., Won the Startup of the Year - IoT Solution (Warehousing) in the 5th Inflection Awards.",4,Growth,,,,,,8.7
115,Next Big Innovation Labs Pvt Ltd,Healthtech,,Healthtech > 3D Printing > Bioprinter, 5th Phase J.P.Nagar,Bangalore,560078,1,32,6-May-16,5.4,14,82,3,13,"4 National Media Recognition, 9 Inncubation and awards",3,Paid POC,4.9,,,,,12.5
116,Lab4Life Bioresearch Pvt Ltd,Healthtech,,," Electronics City Phase 1, Electronic City",Bangalore,560100,,,28-Feb-12,9.6,,,,,,,,,,,,,1.0
117,Mercuri Biotechnologies Pvt Ltd,,"B2B/Enterprise, B2B eCommerce",Business > Multiventure,"Helix Biotech Park, Electronics City Phase 1, EGF-8",Bangalore,560100,1,7,1-Jan-17,4.8,,,,,,,,,,,,,1.2
118,Vnir Biotechnologies Pvt Ltd,Healthtech,Computer vision,Healthtech > Imaging > Diagnosis,"Bangalore Bioinnovation Center
Helix Biotech Park, Electronic City Phase I",Bangalore,560100,3,18,11-Apr-17,4.5,,,2,2,"Elevate 100, BIG grant",2,Grants,,,,,,3.0
119,Bizmobile It Solutions Pvt Ltd(Mobijini),Enterprise Solutions,"B2B/Enterprise, B2B eCommerce",Enterprise Solution > B2B eCommerce,"5th Block, Jayanagar",Bangalore,560041,1,25,5-Jun-15,6.4,5,105,2,,,4,Growth,,,,,,11.5
120,Movingup Products Pvt Ltd (FlippAR),AR/VR,Computer vision,ComputerVision > AR App,"46/1, Church Street",Bangalore,560001,3,13,12-Aug-15,6.2,2,13,2,4.75,Coverage in Local And National Media,4,Growth,,,,,,4.1
121,Denovo Biolabs Pvt Ltd,Healthtech,,Healthtech > Diagnostic > Medical Research,"IBAB Campus, Biotech Park
Electronics City Phase 1",Bangalore,560100,,,21-May-13,8.4,,,1,,,3,Paid POC,,,,,,1.2
122,Purvinnovations lab Pvt Ltd (Connektdlivz),Iot,Enterprise Solutions,IOT> Enterprise Solution > Tracking Platform,"3/3 Krishna Nilaya, Adarsh Palm Meadows Gate, Varthur main road, Whitefield",Bangalore,560066,3,22,10-Feb-16,5.7,,,1,,,3,Paid POC,,,,,,3.4
123,Mverve,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions,"#41, Sri Krishna Mansion, 3rd Floor
S End D Cross, JP Nagar 3rd Phase",Bangalore,560078,1,18,1-Jun-17,4.4,,,1,,,3,Paid POC,,,,,,2.7
124,Living waters,,Enterprise Solutions,Enterprise Solutions > NT > BT >IT,"148/10, 16th main, Bsk - ist stage, Block - 2",Bangalore,560050,,,,121.9,,,1,,,4,Growth,,,,,,12.7
125,Skyfire Applied Intelligence Pvt Ltd (Atom360),Healthtech,"industrial Automation, Robotics",Healthtech > AI > CV,Yelahanka New Town ,Bangalore,560064,1,7,1-Aug-17,4.2,,,2,1,winner IBM watson AI,2,Pilot,,,,,,1.7
126,Jkn Nanosolutions Pvt Ltd,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions > NanoTech Products,"#137, Ashraya Layout, Vidyaranyapura Post,
Veersagara - Hesaraghatta Main Road",Bangalore,560097,,,25-Oct-17,4.0,5,,2,4,"Dev Tech Award, Elevate 100 Award and Tata Social Enterprise Challenge Award 2018, Design Impact Award 2018 from Titan and Tata Trust",4,Growth,,,,4,,2.0
127,Wallter Systems Pvt Ltd,Lifestyle,,Lifestyle > Foldable Furniture ,"#87, 3rd cross, laxmi layout, arekere",Bangalore,560076,1,2,20-Feb-18,3.7,5,10,1,,,1,Bootstrapped,,,,,,1.9
128,Corover Pvt Ltd,Lifestyle,chatbot,Lifestyle > App > Chatbot > Travel,"DSU Innovation Campus, II Floor, Block 1
Hosur Rd, Kudlu Gate, Singasandra,",Bangalore,560068,1,28,27-Dec-16,4.8,,28,2,15,"10 Coverage In National & International Media, Best Mobile App (Travel/Social Space) by BMA, USA.One of the Top 5 product companies to represent India at DLD Tel Aviv Tech Festival organized by NASSCOM Product Council. CoRover Connect was launched in Israel by Mr. Avinish Sabharwal, MD Accenture Ventures.Featured in Top 10 Startups in India by Headstart.Featured in Top 50 Startups in India by Conquest, BITS Pilani.Selected in 2020StartUp Accelerator in New York. ",4,Growth,,,,14,,8.4
129,Focuz AR,AR/VR,Computer vision,CV > AR/VR,"Gopala Krishna Complex,
45/3, Residency Road, MG Road, Shanthala Nagar,
Ashok Nagar",Bangalore,560025,1,27,1-Jan-17,4.8,12,57,3,,,4,Growth,,,,10,,9.8
130,Kalpnik ,AR/VR,Computer vision,CV > AR/VR > 360 Imaging,"Second Floor, RXDX Building
Plot No. 7G, Opp. Graphite India


Whitefield",Bangalore,560048,1,85,22-Jul-16,5.2,14,129,2,1,Media Coverage,1,Seed,0.5,27-May-18,,95,,29.0
131,Musion 3D Technology,,Computer vision,CV > Hologram,"#12, Service Road
Domlur Layout
Next to Samsung Showroom",Bangalore,560071,1,56,29-Oct-14,7.0,3,81,3,,,4,Growth,,,,,,12.9
132,Euphotic Labs Pvt Ltd,Home Automation,smart city,Home Automation > Smart city > Smart Cooking,"IKP Eden, 16,
Bhuvanappa Layout,
Tavarekere Main Rd",Bangalore,560029,1,12,26-Mar-18,3.6,5,28,2,,,2,Paid POC,,,,,,4.3
133,Farms 2 Fork Technologies Pvt. Ltd.,Agritech,Analytics,Agritech > Water Management > Nutrition Management > CV Analytics,"322,5th Main, Vijaya Bank Colony BTM 4th Phase",Bangalore,560076,1,32,13-Jun-16,5.3,7,62,2,2,Certified by University of Agricultural Sciences and Indian Institute of Horticultural Research (IIHR) which is a premier institute of the Institute of Indian Council of Agriculture Research (ICAR).,2,Paid POC,,,,,,9.2
134,Noos Technologies Pvt Ltd,Marketing,"B2B/Enterprise, B2B eCommerce","Anti-Counterfeit & Secured Tracking > Computer Vision, Algorithm",,Bangalore,560100,3,18,14-Mar-18,3.6,4,25,2,3,"Recognized by DIPP, Plugin DST , IPFPackaging Innovation award from IPF, GHP (UK). Other awards for innovation from SANOFI Pharma, TiE Bangalore Top 5 Emerging Technology, PLUGIN Demo Day Award. Media coverage in YourStory, Inc42",2,Paid POC,0.01,,0.5,0,0,5.1
135,Numocity Technologies Pvt Ltd,Smart Cities,Two-wheelers & Smart cities,Smart City > Electric Vehicle,"#1659/27,5th Cross RPC Layout",Bangalore,560104,1,63,14-Dec-18,2.8,13,100,2,1,"Top 5 IOT Startups from TiE
 https://web.dailyhunt.in/news/india/english/yourstory-epaper-yourstory/iot+day+2019+meet+the+top+5+emerging+iot+startups+of+india-newsid-115357822",4,Seed,0,,2,3,35,16.4
136,Biodesign Innovation Labs Pvt Ltd,Healthtech,,HealthTech > Respiratory device,"IKP EDEN, 16, Bhuvanappa Layout, Tavarekere Main Rd",Bangalore,560029,,,,121.9,,,,,,,,,,,,,12.2
137,IMOV Motion Tech Pvt Ltd,Wearable,"ADAS, Embedded, and IOT",Wearable > Assistive Technology,"3023 Cornwall,Prestige Kensingon Gardens HMT Colony main road, Jalahalli",Bangalore,560013,1,46,8-Dec-17,3.9,3,50,3,,,2,Paid POC,,,,,,9.3
138,Atik Energy Solutions,Cleantech,Cleantech,Cleantech > Analytics > Carbon Footprint,"We Work,  Cinnabar Hills,
Embassy Golf Links Business Park,
Challaghatta",Bangalore,560071,1,8,1-Jan-13,8.8,3,14,2,,,2,Paid POC,,,,,,3.3
139,Finixel Technologies Pvt Ltd,Iot,Enterprise Solutions,IOT > Enterprise Solution > BigData > Analytics,"13A, Kothanur Main Road, JP Nagar, 7th Phase",Bangalore,560078,1,18,11-Jun-13,8.4,6,38,2,,,3,Early Traction,,,,,,6.3
140,IOT Ready ,Iot,Automation & Services,IOT > Home Autiomation > IIOT,5/1 Richmond Road,Bangalore,560025,3,73,1-Nov-18,3.0,3,73,2,,,3,Early Traction,,,,8,,14.4
141,Shrama Technologies Pvt Ltd,Iot,Enterprise Solutions,IOT > Enterprise Solution,"591,1st floor, 14th main, 15th cross, sector-4, HSR layout",Bangalore,560102,1,17,1-Jun-19,2.4,2,20,,,,,,,,,,,3.5
142,UniqoLabel ,Security,Enterprise Solutions,Security > Enterprise Solution > Lables > App > QR code,"#13/37, 4th Floor, Sampurna Chambers, Opp Vijaya Bank, Vasavi Temple Road, VV Puram",Bangalore,560004,1,23,1-Jan-16,5.8,10,59,2,,,3,Early Traction,,,,,,8.3
143,Linksmart Technologies Pvt Ltd,Security,Enterprise Solutions,Security > Enterprise Solution > Lables > App,"#104, Level 2, Prestige Omega, EPIP zone Whitefield",Bangalore,560066,1,11,20-Dec-10,10.8,10,47,2,,,3,Early Traction,,,,,,6.7
144,Glider,HR,Enterprise Solution,Enterprise Soltution > HR ,"IBC Knowledge Park, CST-4, 12th Floor, D Block, Bannerghatta Main Rd, ",Bangalore,560029,3,20,1-Jan-16,5.8,44,149,2,,,3,Early Traction,,,,,,16.8
145,Playlyfe It Solutions Pvt Ltd,Enterprise Solutions,Enterprise Solutions,Enterprise Soltution > HR > Gamification ,"3 rd Floor, #758, 19th Main, Sector 2, HSR Layout",Bangalore,560102,1,14,23-May-14,7.4,4,22,2,,,3,Early Traction,,,,,,4.5
146,Knolskape Solutions Pvt Ltd,Enterprise Solutions,Enterprise Solutions,Enterprise Solution > HR > Gamification,"1314, 3rd & 4th Floor, Double Road, Indiranagar 2nd Stage",Bangalore,560038,1,32,25-May-09,12.4,124,398,2,13,"KNOLSKAPE is NASSCOM Top 10 Technology Startup
KNOLSKAPE recognised by Frost & Sullivan
KNOLSKAPE recognised by Deloitte
KNOLSKAPE Wins Brandon Hall Gold
KNOLSKAPE featured in Top 20 Gamification Companies in the World 2015 by Training Industry
KNOLSKAPE wins Brandon Hall Group Bronze Award
KNOLSKAPE Wins Gold in Excellence in Leadership Development 2017
KNOLSKAPE Wins Bronze for Best Results in a Business Program 
KNOLSKAPE Wins Bronze for Best Program Supporting a Business Change
KNOLSKAPE Named 2018 Top 20 Gamification Company
KNOLSKAPE named a Deloitte Technology Fast 500™ Company
KNOLSKAPE wins Brandon Hall Excellence award for the 4th year 
KNOLSKAPE Certified as Great Place To Work® for 2018-2019  
",4,Growth,,,,10,448.8,52.5
147,Nsmiles India Pvt Ltd,Healthtech,Enterprise Solutions,Enterprise Solution > Employee Wellness,"#E206, Innovation center, IIITB, Electronics City Phase 1",Bangalore,560100,1,16,10-Jul-13,8.3,8,44,2,7,"Tech in asia runner up 2016, sandbox samvidha winner, 100 most impactfull healthcare startup , Media Covergae",3,Early Traction,,,,,140,9.9
148,HyperVerge,Enterprise Solutions,Fintech,Enterprise Solution > Fintech > Geospatial mapping,"Plot No-16, 2nd Floor, Tavarekere Main Rd, Bhuvanappa Layout,",Bangalore,560029,3,26,30-Dec-13,7.8,38,158,2,,,3,Early Traction,1,17-Aug-15,1,,1376,45.5
149,ThingTronics Innovations Pvt Ltd,IoT Design,Agritech,IOT > Agritech > Indoor Navigation > GPS ,"3rd cross, Shirdi sai nagar, K Narayanapura main road 
R.K Hedge Nagar",Bangalore,560077,1,33,21-Sep-16,5.1,13,77,3,5.333333333,Major Media Coverages,3,Early Traction,2,,,,,11.4
150,Fabrik,AR/VR,Enterprise Solutions,AR/VR > Enterprise Solution,,Bangalore,560034,1,11,1-Jan-18,3.8,8,32,2,,,2,Paid POC,0.25,,,,,4.8
151,GoSwift,logistics,smart city,Logistics > Courier Services,,Bangalore,560037,1,10,30-Nov-18,2.9,11,46,1,,,1,Early stage,,,,,,5.5
152,Flinkhub,AI,Computer vision,,"L-165, Sri Gayatri Complex, 
Sector 6, HSR Layout ",Bangalore,560102,3,9,14-Feb-19,2.7,7,24,2,,,3,Early Traction,,,,4,,4.4
153,Aibono Smart Farming Pvt Ltd,Agritech,Agritech,Agritech > Fresh Food Platform,"First Floor, G.R. Square (Indiqube),
Adjacent to Jeep/Fiat Showroom, 
Amar Jyoti Layout, Koramangala Road (100 Feet Road),
Domlur,",Bangalore,560071,3,8,19-Nov-13,7.9,19,62,3,1,The Economics Times best Social Enterprise 2017,3,Early Traction,2.5,11-Mar-19,,,2100,50.4
154,Hansel.io,AI,Analytics,AI > Analytics ,"No.20, 1st Main Road, 1st Block Koramangala Layout",Bangalore,560034,1,37,16-Oct-15,6.0,45,205,2,,,4,Growth,5.4,08-Aug-18,,12,630,36.8
155,Whatfix,Enterprise Solutions,SaaS,SAAS > Enterprise Solution > Content ,"2nd and 3rd Floor, No. 443, 4th Sector, 17th Cross, HSR Layout",Bangalore,560102,1,42,15-Jun-14,7.3,153,495,2,,,4,Growth,17.8,12-Mar-19,,24,5794.69,171.0
156,Shield Square (Aquired By Radware),Enterprise Solutions,chatbot,Enterprise Solution > Chatbot > Management > API,"Shree Arcade, #1391/16/1,
3rd Floor, 19th Main road, 
HSR Layout, Sector 4",Bangalore,560102,2,89,20-Mar-14,7.6,67,341,3,,,4,Growth,0.35,26-Oct-17,,10,5104.18,142.2
157,Slang Labs,Enterprise Solutions,chatbot,Enterprise Solution > Chatbot > NLP Sdk,"91springboard, 1st Floor, Gopala Krishna Complex #45/3 Residency Road",Bangalore,560025,1,61,15-Sep-17,4.1,14,105,3,1,Media Coverage,3,Early Traction,,,,4,110.46,18.2
158,Pratilipi,AI,chatbot,AI > Platfrom > Story Telling/ Writing in Indic Languages,"3rd Floor, No. 627/628, 5th Cross, 15th Main,
80 Feet Road, Koramangala 4th Block",Bangalore,560034,1,36,12-Mar-15,6.6,62,268,3,,,4,Growth,20.5,06-Jun-19,,Retail,614.34,42.5
159,Bellatrix Aerospace Pvt Ltd,Aviation,smart city,Aviation > Propulsion System > Rocket & Satellites,"1st floor, Entrepreneurship center
Society for innovation and development (SID)
Indian institute of Science",Bangalore,560012,1,8,4-Feb-15,6.7,12,44,3,3,,2,POC,3,21-Jun-19,,,,6.5
160,Securelyshare Software Pvt Ltd,Enterprise Solutions,SaaS,Enterprise Solution > SAAS > Platform,"No. 1133, First Floor, 
Anand Embassy, 100 Ft road, 
HAL 2nd Stage, Indira Nagar,",Bangalore,560038,1,27,5-Jun-13,8.4,32,187,3,5,https://www.securelyshare.com/aboutus.html,3,Early Traction,0.49,01-Jun-09,,,,19.9
161,Aryabhatta robotics pvt ltd (Wesense),Enterprise Solutions,Analytics,Enterperise Solution > Retail Analytics ,"No 231, 17th 'F' Main, 5th Block, Koramangala",Bangalore,560095,2,35,3-Jul-17,4.3,12,71,3,1.33,"Won Shark Tank Event NIT Rourkela, Media Coverage",2,POC,0.2,We raised close to $200 K from celebrity investors across the globe,Patent Pending / Applied,3,,10.8
162,ReArk Digital Preservations Pvt. Ltd.,3D Printing,Computer vision,CV > 3D imaging,"161/1, Pearl Naksha,
1st Main Road, Seshadripuram",Bangalore,560020,1,15,19-Sep-16,5.1,4,27,2,,,2,POC,,,No,,,4.6
163,Mobiikey Technologies Pvt Ltd,IoT Platform,"Logistics, Transporation, Technology",IOT Platform > Car Sharing Platform,"#51/1, 14th main, Shubh Enclave, Haralur Road
Off Sarjapur Road, HSR Layout",Bangalore,560102,1,25,1-Sep-17,4.1,7,49,3,,,3,Early Traction,0,,Patent Pending / Applied,,,7.5
164,Option 3,IoT Platform,Enterprise Solutions,IOT Platform > Automation,"157, 20th Cross, 5th Main
Sector 7, HSR Layout",Bangalore,560102,1,102,14-Nov-12,8.9,101,494,4,,,4,Growth,4.5,"Jul 12, 2018",No,8,,54.9
165,ModeliCon InfoTech LLP,Smart Buildings,smart city,Smart City > Simulation of Manufacturing Plants > Pharma,"202, 2nd Floor,
174, 19th Main,
HSR Layout, 4th Sector",Bangalore,560102,3,33,21-Feb-17,4.6,12,77,4,,,3,Early Traction,,,,,,10.9
166,Datakalp,AI,AI,ML > Consultancy > Product outsourcing,"1st floor, Cowork Cafe, #28, opp. Kanua restaurant, Kaikondrahalli",Bangalore,560035,1,17,10-Oct-18,3.0,7,41,3,5.00,"    Awarded ""Promising Startup""      at SES / ELCINA 2019

                            • July 31, 2019




     Won DISC-2

      • May 25, 2019




     Expanding to a 
     new office

      • May 7, 2019




     Finalists of the Airports 
     Authority of India and 
     Defence India Startup
                        Challenge-2

                               • February 27, 2019",2,POC,,,,,,6.3
167,Radome Technologies and Services Pvt Ltd,AI Analytics,AI,AI > Analytics > Aersospace & Defence,"No.:259, 4th Floor, 3rd Main, ISRO Layout",Bangalore,560078,1,10,18-May-17,4.4,11,50,4,2.00,we are declared as the winners of Defense India Startup Challenge in association with IDex and DIO(Defense Innovation Organization) of MOD. we have also received the Grant from DIO for Co-creating a product called LogiSmart – AI based SCM and Logistics,2,Paid POC,,,,,,6.5
168,Gnani Innovations Private Limited,AI,Natural Language Processing,AI > NLP > Indic Languages,"#37/3, 1st Floor MN Krishna Rao Road, Opp Lalbagh West Gate, Basavanagudi",Bangalore,560004,1,37,19-Jul-16,5.2,24,145,4,,,3,Early Traction,,,,,,16.8
169,Aiaioo Labs,AI,Enterprise Solutions,AI >Enterprise Solution > Text Analytics,"253, 1st Cross, 2nd Block, Banashankari, 3rd Stage, 3rd Phase,",Bangalore,560085,1,20,1-Sep-09,12.1,2,24,3,,,3,Early Traction,,,,,16,6.0
170,Pochys Ventures Inc (Lrnr),Education,AI,Education > LMS > Self learning Platform,"GOK NASSCOM Startup Warehouse,
Lower Ground Floor, DD3, Diamond District ISRO Colony, Domlur",Bangalore,560008,1,41,1-Mar-12,9.6,20,98,3,1.666666667,"October 1, 2015
Lrnr Adaptive Learning starts STEM course pilots at 12 colleges and universities

September 23, 2015
Lrnr Adaptive Learning Solutions Secures Seed Investment From Publishing Partner Ratna Sagar

March 26, 2015
Lrnr Adaptive Learning Solutions Announces Partnership with Ratna Sagar

September 30, 2014
Lrnr Adaptive Learning Solutions Announces Partnership with OpenStax College

July 15, 2014
Pochys Ventures Announces the Lrnr Adaptive Learning Platform",3,Early Traction,,,,,1400,42.1
171,Nouveau Labs Pvt Ltd,AI,Enterprise Solutions,,"GINSERV, JSS Campus, Behind Leela Palace, Kodihalli,",Bangalore,560047,1,27,1-Mar-17,4.6,24,119,3,,,3,Early Traction,,,,,,13.8
172,IntelliPredikt Technologies Pvt. Ltd.,IIOT,Enterprise Solutions,IIOT > Enterprise Solution > AI > Embedded Solutions,"#355, Balaji arcade, 3rd Floor, 5th Main,14Th B Cross, Sector 6, HSR Layout, Sector 6, HSR Layout",Bangalore,560102,1,94,22-May-15,6.4,21,274,4,,,3,Early Traction,,,,,,31.5
173,Frslabs Research Systems Pvt Ltd (FRS Labs),Fintech,Enterprise Solutions,Fintech > Enterprise Solutiion > Computer Vision > Fraud Detection,"355, 2nd Floor, 5th Main, 14th B Cross Road, Sector 6, HSR Layout",Bangalore,560102,1,22,23-Feb-10,11.6,16,82,4,10,"Winner
AnthaPrerana
(TiE Bangalore)
Winner
Canada India Tech
Accelerator
Finalists
Top 10
Wharton Economic
Forum Mumbai
Finalists
Top 50
InTech50
iSpirt
Finalists
Top 10
TechInAsia
Bangalore
Finalists
Top 20 India
Citibank tech for
integrity 2017
Finalists
3rd Place
Fintegrate
Mumbai 2017
Finalists
Top 10
Yes Bank Fintech
Accelerator 2017
Finalists
Top 10
Societe Generale
Accelerator 2017
Winner
FinTech Abu Dhabi
Challenge 2017",4,Growth,,,2,20,38,14.8
174,Signzy Technologies Pvt Ltd (Signzy),Fintech,"Agritech, banking",Fintech > Banking > NBFC,"BPL building, 11th KM, Arakere Bannerghatta Rd,",Bangalore,560076,3,19,3-Nov-15,6.0,116,279,4,16,"2016
Top 30 Global Finalist PnP fintech (May 2016)
RBI’s award for most Innovative Payment system solution (PSIC 2016) organized by IDRBT (July 2016)
IBM Fintech runner-up award for innovative fintech company in India (Aug 2016)
Most popular IBM engage partner (Aug 2016)
Thomson Reuters innovative fintech company award (Nov 2016)

2017
Listed in Forbes 30 under 30 India (Feb 2017)
Runner up in HDFC Life Global digital authentication challenge, ahead of large player Jumio (Mar 2017)
Top 9 Global Digital Financial Implementations, MAS Singapore, Only Indian Financial Solution (Sep 2017)
Emerge 50, Nasscom Product Conclave, Special Award in Fintech Category (Nov 2017)
Top 7, Startup of the year, by Financial Express (Dec 2017)

2018
Best Innovative Fintech Data Solution Provider at the 8th India Digital Award of IAMAI (Jan 2018)
TOP 6, Start Ups under 30 competition at the Magnetic Maharashtra : Convergence 2018 Start-up awards (Feb 2018)
Business Excellence and Innovative Best Practices Academia Award - 2017 by New Delhi Institute of Management (Mar 2018)
Runner-up in IDRBT Banking Technology Innovation Contest (IBTIC) (Apr 2018)",3,Early Traction,12.6,02-Dec-20,,5,700,47.9
175,Fyle Technologies Pvt Ltd,Analytics,Enterprise Solutions,Enterprsie Solution > Analytics > Digitalization,"91 Springboard, 1st Floor, Gopala Krishna Complex, 45/3 Residency road,",Bangalore,560095,1,32,16-Feb-16,5.7,69,308,3,,,3,Early Traction,5.9,23-May-19,,9,700,46.3
176,Stride AI Inc,AI Analytics,"Agritech, banking",AI Analytics > Text Translation,"#1A Block, 1st floor, CIL Layout, Sanjaynagar Main Road",Bangalore,560094,1,28,24-Oct-15,6.0,16,80,4,,,3,Early Traction,0.128,01-Mar-16,,,,10.9
177,Cloudphysician Healthcare Pvt Ltd,Healthtech,IIOT,Healthtech > IOT> Telemedics,"7, Bellary Road,Ganganagar",Bangalore,560032,1,22,17-Apr-17,4.5,22,110,4,5,Media Recognition,3,Early Traction,,,,9,,13.9
178,Bitonic Technology Labs Pvt Ltd (Yellow Messenger),AI,Enterprise Solutions,AI > Enterprise Solution > Converstional platform,"No. 19, Katha No. 654 Bommenahali Village, Bidarahalli, Hobli",Bangalore,560049,2,37,22-Jan-16,5.7,78,353,3,,,3,Early Traction Series A,4,12-Jun-19,,41,1000,59.7
179,Utor Labs Pvt Ltd,AI,Analytics,AI > Analytics,"Ground Floor, 407, West Wing, Amarjyothi Layout, Domlur",Bangalore,560071,2,47,23-Jan-18,3.7,,,3,,,2,POC,,,,,,5.7
180,3Frames Software labs Private Limited,IIOT,Enterprise Solutions,IIOT > Enterprise Solution ,"#3540 , 2nd Cross,
13th H Main HAL IInd Stage,
Indira Nagar,",Bangalore,560008,3,44,9-Jun-10,11.4,26,140,3,,,4,Growth,,,,,2275,63.6
181,42Gears Mobility Systems Pvt Ltd,IT,Enterprise Solutions,IT > Enterprise Solution,"HSR, Sector -1,",Bangalore,560102,3,35,22-Sep-10,11.1,191,799,4,5,Major Media Mentions,4,Growth,,,,92,7100,226.5
182,eGestalt Technologies Pvt Ltd(Aegify),Security,SaaS,Security > SAAS,"No.1606, 7th Cross,
20th Main Road,
HSR Layout Sector – I",Bangalore,560102,1,33,5-Sep-07,14.1,124,525,4,3,CRN 2013 SC 2014 TiE 2013 Cyber 500,4,Growth,,,,,10670,264.6
183,AforeCybersec Technology Private Limited,Cyber Security,Enterprise Solutions,Cyber Security > Enterprise Solution,"1st floor, 660/1,100 feet road, Indiranagar,
Akshaya Building",Bangalore,560038,1,18,29-Mar-17,4.6,17,82,4,,,4,Growth,,,,7,2981,70.4
184,CustomerXPs (Clari5),Cyber Security,"Agritech, banking",Cyber Security > Banking > Anti Money Laundering,"#113/1B, SRIT,
ITPL Main Road, Brookefield,",Bangalore,560037,3,72,29-Dec-06,14.8,166,724,5,,,4,Growth,4,11-Jun-15,,,2100,114.5
185,Dbaux,Cyber Security,Enterprise Solutions,Cyber Security > Enterprise Solution > End Point severs,"Unit-211, 2nd Floor, No 1, Carlton Towers, Old Airport Road, Kodihalli,",Bangalore,560008,1,20,2-Sep-03,18.1,14,72,4,,,4,Growth,,,,11,1400,39.8
186,ILANTUS Technologies Private Limited,IT,Enterprise Solutions,IT > Enterprise Solution,"Novel Business Park, #57,13th Cross Gajendra Nagar, Baldwin’s College Road",Bangalore,560030,3,59,23-Jun-00,21.3,206,875,4,,,4,Growth,0.261,01-May-12,,84,7096,235.1
187,InfiSecure Technologies Inc,Cyber Security,Enterprise Solutions,Cyber Security > Enterprise Solution > Fraud Detection,"2984, 2nd Floor, 12th Main Rd, HAL 2nd Stage, Indiranagar",Bangalore,560008,1,10,3-Mar-16,5.6,7,34,4,,,,,0.6,23-Nov-16,,,1400,33.0
188,Neridio Systems Private Limited,Cyber Security,SaaS,Cyber Security > SaaS > Cloud data protection,"Innovation Centre, International Institute of Information Technology, Bangalore (IIIT-B) 26/C, Hosur Rd, Electronics City Phase 1, Electronics City,",Bangalore,560100,1,24,17-Feb-17,4.7,5,40,4,,,1,Seed,,,,,,6.6
189,Parablu Inc,Cyber Security,SaaS,Cyber Security > SaaS> Data Protection,"No.62/1, NR Towers, 3rd Floor,
19th Main, 17th Cross,
HSR Layout – 4th Sector",Bangalore,560102,1,29,8-Feb-12,9.7,20,105,4,6,"Parablu recognized as an Innovator in the Global Cloud Encryption Market
Parablu joins Citrix Startup Accelerator Innovators Program
Parablu named in the League of 10 - NASSCOM Emerge 50
Parablu joins Kstart, a Kalaari Capital initiative
Parablu named among Top 20 Best Startups in Enterprise Software
Parablu named among 20 Most Promising Security Solution Providers
Parablu Joins Microsoft BizSparkPlus program
IBM GEP Smart Camp announces Parablu as Regional Winner
Parablu among the finalist - DSCI Excellence Award",4,Growth,0.502,24-Jun-16,,,3122,76.4
190,QoS INC,Security,,,"5th-Floor, No 70 Grace Towers, Millers Tank Bund Road, Vasanth Nagar, Bengaluru,",Bangalore,560052,1,22,19-Jun-15,6.3,74,314,4,5,"10th February 2015
Splunk Revolution Award
Splunk honoured us for building Check Point Analytics App on Splunk platform.


10th May 2014
Check Point APAC Partner Award
Check Point awarded us for generating highest business for them in Asia Pacific.


17th September 2016
Check Point Threat Prevention Award
We received this award for generating maximum business in Check Point Threat Prevention solutions in Asia Pacific.


2nd April 2017
Check Point Cloud Partner Award
We were honored for generating maximum business in Check Point Cloud solutions in Asia Pacific.


4th July 2016
Check Point 4 Star Partner
We are one of the highest rated Check Point partners chosen based on our level of commitment towards Check Point.",,,,,,,,30.8
191,Smile Security & Surveillance Private Limited,Cyber Security,Enterprise Solutions,Cyber Security > Enterprise Solution,"#21/2, Bhattarahlli, Old Madras Road, 14 KM, K.R. Puram",Bangalore,560049,1,44,12-Jan-06,15.8,10,89,4,,,4,Growth,,,,,,13.8
192,SocView Solutions Private Limited,Cyber Security,Enterprise Solutions,Cyber Security > Enterprise Solution,"BVK Lake Front, Veerannapalya Main Road
Nagavara",Bangalore,560045,1,39,25-May-16,5.4,7,75,4,,,3,Early Traction,,,,,,10.9
193,XYSec Labs Private Limited (Appknox),Security,,,"WeWork, Salarpuria Magnificia
78 Old Madras Road, 13th Floor
KR Puram",Bangalore,560016,1,15,8-Jan-16,5.8,22,95,4,10,Media Recognitions,4,Growth,0.659,16-Aug-16,,6,785,28.2
